Cut, Number of Events, Fraction of Total (%) 
Number of Events to Begin With, 306260,  100.000000 
Number of Events with Vertex in FV, 19653 , 6.417097 
Number of Events with 3 PFPs , 2853 , 0.931561 
Number of Events with 3 Tracks , 364 , 0.118853 
Number of Events with 3 Tracks Connected to the Vertex, 86 , 0.028081 
Number of Events with 1 Muon and 2 Protons, 35 , 0.011428 
Number of Events with Reco. Muon Momentum above 0.100000 and below 1.200000 GeV/c, 26 , 0.008490 
Number of Events with Reco. Leading Momentum above 0.300000 and below 1.000000 GeV/c, 25 , 0.008163 
Number of Events with Reco. Recoil Momentum above 0.300000 and below 1.000000 GeV/c, 16 , 0.005224 
Sanity Check of the  Total Number of Events Remaining, 16 
