GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1067755, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4939, 100.000000 
Number of CCQEL Events, 11440, 231.625839 
Number of CCRES Events, 16890, 341.972076 
Number of CCDIS Events, 1130, 22.879126 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 2760, 55.881756 
Number of OOFV Events, 1430, 28.953230 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1067755, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4939, 100.000000 
Number of CC0p0pi Events, 530, 10.730917 
Number of CC1p0pi Events, 2580, 52.237293 
Number of CC2p0pi Events, 32250, 652.966187 
Number of CCNp0pi Events, 3580, 72.484306 
Number of CCNp1pi Events, 3500, 70.864548 
Number of CCNpNpi Events, 170, 3.441992 
Number of CCNue Events, 10, 0.202470 
Number of NC Events, 2760, 55.881756 
Number of OOFV Events, 1430, 28.953230 
Number of Other Events, 0, 0.000000 

