Run Subrun Event
14901 219 10966 
14901 260 13040 
14425 57 2855 
15965 138 6921 
15965 228 11442 
17875 119 5993 
17875 163 8155 
14611 124 6245 
17984 99 4973 
17383 437 21857 
17856 13 668 
15902 208 10429 
17256 160 8004 
16499 311 15570 
14529 48 2431 
16581 1 99 
17331 5 293 
17331 8 450 
15904 38 1934 
14772 164 8247 
16293 19 968 
17626 49 2453 
17626 52 2635 
16317 147 7388 
15464 268 13424 
16466 3 187 
17371 200 10046 
14619 100 5017 
17508 58 2919 
18514 498 24909 
15870 63 3184 
15282 91 4570 
14551 69 3462 
14576 99 4992 
17306 54 2728 
15877 227 11377 
16092 101 5075 
18035 12 635 
18765 317 15865 
17079 3 154 
17079 20 1045 
17079 23 1198 
17671 397 19853 
18927 57 2881 
18927 76 3825 
18219 209 10462 
16119 325 16292 
16119 517 25886 
14907 79 3994 
14623 10 509 
17413 340 17004 
17413 340 17025 
17475 187 9356 
17023 152 7613 
14455 74 3737 
14455 293 14673 
16852 265 13289 
14541 209 10499 
15933 339 16989 
15491 213 10694 
15491 346 17327 
16832 29 1495 
17965 158 7923 
17239 74 3712 
17239 250 12543 
17478 61 3083 
18018 55 2778 
15160 83 4186 
18005 233 11652 
14610 123 6160 
15122 213 10675 
16919 512 25649 
17557 132 6609 
15316 12 633 
15501 241 12057 
15127 81 4077 
17557 91 4588 
15117 50 2508 
17875 413 20659 
17875 423 21192 
18949 24 1209 
16950 0 14 
16950 203 10155 
15369 306 15324 
15369 306 15344 
16947 297 14863 
17871 102 5139 
16836 53 2654 
16836 137 6894 
17671 280 14045 
17671 301 15083 
14927 86 4302 
18732 72 3649 
14686 42 2127 
16150 240 12040 
15120 18 908 
18225 334 16702 
14915 153 7678 
17100 45 2252 
14881 24 1215 
18244 115 5786 
14321 10 531 
16962 392 19605 
17349 30 1544 
15501 287 14385 
17235 0 38 
17559 75 3787 
15242 39 1957 
14455 273 13696 
14133 89 4483 
17699 74 3724 
14773 5 271 
15099 55 2758 
14881 60 3034 
18044 182 9121 
15497 352 17607 
14218 244 12220 
16313 141 7060 
17205 190 9520 
17545 60 3037 
18021 266 13350 
16167 140 7011 
15456 172 8617 
16446 286 14317 
17686 122 6111 
14669 4 221 
16169 58 2936 
16963 18 908 
18784 34 1727 
17856 80 4036 
16952 41 2085 
17210 173 8695 
17681 0 19 
17432 9 453 
17675 60 3026 
18760 84 4217 
17693 222 11121 
15151 238 11942 
16134 410 20540 
18771 34 1749 
15900 89 4496 
17823 58 2925 
14607 136 6824 
15354 36 1815 
16219 62 3139 
17132 24 1211 
18658 26 1314 
16448 31 1573 
16352 11 587 
15177 15 763 
14122 159 7973 
15722 86 4326 
17530 60 3036 
15114 12 603 
14924 208 10436 
14924 311 15590 
18018 14 706 
18018 22 1131 
15632 30 1527 
17168 100 5038 
14902 247 12371 
18057 49 2454 
17975 177 8864 
17471 15 762 
16341 11 599 
16341 427 21389 
15528 204 10232 
15436 199 9992 
15484 68 3426 
15913 22 1123 
18653 296 14820 
14427 146 7327 
15358 2 137 
16169 387 19361 
18269 92 4601 
15870 37 1865 
17795 7 351 
17203 61 3073 
15589 361 18069 
15428 17 853 
16676 254 12729 
17636 44 2219 
18468 378 18935 
17989 155 7757 
15495 3 186 
15495 68 3401 
18062 15 767 
18062 91 4580 
15876 68 3436 
14379 96 4818 
17308 149 7484 
16122 402 20133 
16022 197 9871 
18039 37 1862 
14573 39 1953 
16849 78 3913 
18031 313 15677 
15074 95 4786 
15291 311 15578 
15919 60 3019 
18794 185 9276 
14998 138 6912 
18244 92 4631 
14787 46 2309 
14453 33 1680 
14453 105 5299 
14207 20 1040 
18497 2 123 
15270 46 2346 
16341 206 10322 
18021 519 25967 
14793 34 1730 
18479 90 4502 
15014 226 11323 
18574 447 22398 
16075 495 24779 
17409 61 3099 
16907 51 2594 
16186 91 4569 
17536 4 217 
17536 11 598 
18756 42 2134 
15895 15 759 
17056 290 14549 
15160 328 16442 
17373 28 1442 
16119 59 2953 
16119 59 2972 
16119 182 9130 
18935 265 13276 
18752 139 6956 
14989 37 1863 
14263 82 4120 
15589 81 4061 
14149 155 7778 
16919 77 3861 
15491 271 13553 
17686 203 10200 
17686 269 13458 
17686 269 13489 
14985 2 145 
16231 65 3274 
16110 33 1689 
18623 5 292 
18623 56 2820 
15799 41 2057 
18918 79 3957 
16295 159 7970 
18603 360 18025 
14356 263 13181 
18031 246 12320 
18752 32 1608 
17044 117 5891 
16944 150 7507 
17351 2 139 
15330 46 2312 
17141 33 1662 
16107 2 108 
15447 32 1626 
15447 244 12232 
18024 132 6608 
17083 18 934 
17083 18 940 
17083 44 2203 
17028 169 8463 
18786 83 4167 
18251 21 1059 
18903 262 13124 
18903 267 13363 
17312 31 1593 
17312 36 1823 
17955 277 13880 
17955 286 14332 
14914 1 76 
14134 82 4148 
18754 114 5704 
17448 71 3584 
17448 99 4989 
17671 231 11595 
16948 287 14358 
18007 35 1760 
18007 35 1773 
14989 278 13901 
15242 142 7120 
16283 43 2169 
18021 160 8013 
18021 160 8038 
18021 224 11201 
17339 189 9487 
15801 431 21591 
18639 193 9670 
14573 27 1392 
16843 181 9069 
17087 205 10290 
18637 25 1262 
18225 406 20348 
18225 523 26172 
15593 230 11534 
17855 96 4823 
14537 36 1824 
16697 95 4765 
17520 6 315 
14521 12 612 
14521 39 1964 
17239 58 2934 
17459 75 3781 
17459 174 8730 
18577 56 2804 
15902 483 24174 
16894 114 5723 
15681 3 169 
15910 244 12224 
18574 46 2303 
17875 49 2457 
18723 76 3838 
16227 207 10379 
16227 288 14444 
17183 1 84 
14117 0 25 
14117 4 239 
17065 174 8706 
17004 192 9623 
18779 212 10638 
17318 10 514 
18933 232 11647 
15113 17 897 
16199 341 17052 
16126 37 1895 
16076 137 6853 
18740 37 1862 
14772 94 4715 
15295 70 3504 
15916 9 490 
14222 62 3145 
17960 35 1777 
17575 4 231 
14134 71 3564 
18240 38 1924 
17075 149 7498 
17075 156 7835 
16970 48 2446 
17119 103 5194 
15877 1 95 
17398 10 544 
17398 209 10490 
14754 96 4804 
17505 82 4135 
18865 80 4045 
18225 68 3415 
15587 4 249 
16119 391 19574 
14242 7 361 
14242 118 5934 
15465 38 1911 
15465 38 1937 
15466 153 7668 
14610 63 3199 
15497 379 18991 
16504 29 1459 
18937 20 1022 
18062 182 9143 
17849 259 12959 
17829 234 11730 
17754 57 2872 
14270 196 9817 
15463 204 10214 
14535 56 2835 
17132 124 6206 
17156 43 2168 
18935 313 15692 
17198 91 4569 
15227 42 2121 
17849 78 3927 
14927 78 3920 
18793 41 2071 
15114 0 42 
17597 77 3900 
18265 134 6733 
17193 43 2199 
16199 496 24802 
17098 39 1991 
16252 156 7805 
16252 207 10359 
14556 212 10617 
15477 13 662 
17092 20 1033 
15113 33 1651 
18511 99 4976 
18511 99 4993 
16107 12 621 
15902 317 15888 
15308 109 5451 
16117 76 3803 
17972 60 3008 
17360 102 5118 
17989 149 7474 
17309 32 1630 
14774 203 10152 
17371 92 4622 
17369 21 1075 
17186 21 1080 
16159 0 34 
18474 189 9487 
18474 240 12045 
15975 22 1134 
16453 263 13155 
14403 78 3940 
17996 26 1311 
17667 64 3250 
16994 257 12867 
14637 121 6091 
18760 262 13124 
18760 262 13150 
16893 13 654 
16893 56 2822 
16515 1 96 
16761 108 5437 
14376 46 2328 
14376 182 9138 
17985 236 11831 
16555 108 5438 
16095 14 720 
15103 240 12049 
16258 7 352 
14553 264 13217 
17065 46 2348 
16150 251 12571 
17700 17 864 
15097 82 4107 
15227 131 6562 
16148 223 11163 
17243 18 901 
18269 94 4712 
17851 16 841 
17965 133 6690 
18935 80 4036 
15145 170 8539 
18746 26 1303 
17534 16 807 
17650 0 32 
17400 211 10564 
14213 2 137 
15111 168 8402 
14428 25 1256 
14428 107 5356 
15715 179 8963 
18915 142 7145 
15316 77 3878 
18665 24 1209 
17308 76 3849 
15521 4 227 
15778 25 1285 
16295 274 13712 
18283 37 1865 
16562 35 1757 
15514 128 6421 
15113 24 1240 
17823 98 4941 
16160 131 6552 
15780 50 2503 
15780 85 4293 
18238 101 5065 
17428 21 1058 
14912 49 2458 
14912 166 8306 
18959 29 1475 
18959 40 2037 
17116 69 3485 
15113 115 5784 
17469 3 160 
15266 56 2831 
17683 105 5289 
15517 43 2197 
18007 156 7818 
17631 122 6122 
16834 189 9485 
18676 383 19195 
17693 247 12386 
14725 63 3172 
15474 54 2722 
17753 207 10364 
14623 247 12351 
15509 53 2698 
16378 96 4824 
17955 296 14805 
17955 312 15628 
18709 382 19116 
17136 44 2218 
17271 122 6134 
14745 3 179 
14745 102 5143 
14938 270 13537 
16094 162 8140 
18929 17 871 
15471 33 1696 
17327 54 2725 
17327 168 8424 
18234 81 4053 
18234 120 6013 
16355 101 5088 
17361 196 9841 
15097 8 431 
17240 505 25292 
17217 72 3624 
18862 31 1563 
16949 443 22184 
18957 415 20770 
18286 107 5377 
14609 153 7667 
18272 149 7490 
15923 17 883 
14900 72 3617 
18218 161 8057 
15115 32 1608 
17398 37 1865 
15901 337 16873 
17829 248 12418 
15334 42 2109 
18202 60 3024 
17029 49 2490 
17029 260 13024 
15499 111 5551 
15442 8 413 
15337 15 778 
15318 9 474 
14938 54 2747 
15398 102 5147 
15875 136 6824 
14716 62 3102 
14716 97 4858 
17250 2 136 
17250 99 4993 
18235 258 12921 
17214 9 455 
15593 1 51 
16008 324 16211 
14806 233 11654 
17572 21 1081 
16307 46 2344 
18760 141 7051 
18760 285 14280 
16825 22 1109 
18685 327 16355 
18010 223 11163 
16919 20 1018 
17144 44 2237 
18676 415 20791 
14793 133 6660 
14793 156 7803 
15801 347 17397 
15722 192 9604 
16847 148 7416 
17621 44 2227 
14468 58 2914 
14468 114 5731 
15295 71 3592 
18673 206 10313 
16878 23 1152 
17985 367 18380 
16095 21 1092 
16095 286 14315 
14812 215 10755 
16919 546 27313 
16739 20 1012 
17122 95 4755 
17414 116 5825 
15591 161 8090 
17665 35 1794 
16169 402 20102 
14548 112 5611 
14880 158 7942 
17835 151 7595 
15639 159 7988 
15639 159 7990 
14788 23 1159 
16558 102 5122 
17802 6 306 
17532 3 160 
14123 104 5213 
14716 120 6016 
18225 16 850 
18039 101 5056 
15783 186 9344 
17367 151 7579 
14392 142 7124 
17195 27 1371 
18929 137 6887 
14619 135 6780 
15103 34 1721 
14531 16 822 
15225 15 760 
15225 36 1830 
15225 36 1841 
16949 292 14634 
18021 447 22351 
17638 31 1560 
17132 441 22052 
14342 74 3740 
18007 131 6560 
17521 100 5049 
15588 48 2411 
15588 48 2417 
17322 56 2848 
15479 200 10025 
16172 293 14693 
14245 68 3448 
14923 41 2095 
17503 53 2652 
15840 38 1924 
16734 71 3587 
15789 74 3712 
18712 229 11461 
17620 148 7405 
15680 36 1830 
17696 66 3316 
15701 109 5499 
17594 67 3398 
16731 66 3322 
15859 134 6703 
15859 340 17005 
14286 4 229 
14726 93 4685 
15162 113 5667 
18752 27 1358 
18752 27 1395 
18032 96 4839 
14947 26 1316 
15509 101 5058 
18779 193 9700 
16141 203 10174 
16141 291 14560 
14149 1 66 
18463 6 323 
14382 23 1171 
14940 71 3571 
17397 3 178 
17397 8 438 
16964 439 21992 
15442 10 534 
15442 33 1696 
18743 248 12408 
15920 32 1624 
15118 47 2359 
17400 112 5612 
14401 291 14579 
17307 76 3814 
18760 30 1526 
17239 38 1912 
14610 66 3340 
16919 228 11441 
14327 84 4207 
17302 99 5000 
17325 42 2136 
17429 0 29 
17429 0 49 
15867 117 5886 
16746 48 2420 
17683 144 7242 
16821 98 4936 
17287 155 7767 
17364 14 716 
15111 84 4227 
15336 26 1316 
15130 6 324 
17693 135 6774 
14948 241 12055 
17655 64 3238 
14551 71 3596 
14551 148 7409 
16288 30 1507 
16288 170 8511 
18009 9 490 
14245 180 9015 
14927 91 4582 
17662 111 5585 
18781 2 110 
16355 91 4582 
15828 268 13439 
16312 123 6158 
17023 277 13876 
17851 2 129 
15433 74 3745 
15079 8 438 
16468 112 5629 
15877 73 3662 
14281 196 9831 
15913 26 1334 
18220 29 1487 
18794 69 3465 
18951 259 12983 
17249 184 9221 
14367 124 6232 
17552 196 9809 
15959 41 2066 
18926 182 9115 
16028 198 9934 
18010 103 5173 
18010 103 5196 
15794 25 1261 
16038 261 13078 
14281 74 3711 
14783 0 20 
14981 56 2802 
14702 2 107 
14372 139 6969 
16172 157 7862 
16795 103 5195 
17459 64 3209 
14436 193 9693 
18692 336 16834 
16352 443 22155 
18753 45 2275 
14900 25 1270 
18928 27 1358 
17693 333 16663 
14473 17 868 
14473 18 906 
16583 73 3682 
16805 139 6961 
16805 151 7578 
14805 272 13617 
15420 20 1012 
15420 20 1027 
17308 124 6228 
18263 80 4008 
15323 30 1534 
16439 9 458 
16439 78 3915 
14824 141 7085 
18027 17 879 
14455 88 4403 
17577 65 3296 
15941 7 378 
14173 1 74 
17615 5 273 
15181 11 562 
15799 36 1840 
15799 123 6168 
15799 197 9896 
18926 78 3941 
15930 35 1783 
17671 278 13926 
18951 236 11834 
16022 153 7689 
16022 225 11288 
17240 213 10695 
14313 41 2056 
15846 88 4431 
17083 32 1616 
17573 98 4942 
17573 131 6555 
18208 12 605 
15677 70 3517 
15677 200 10026 
14927 68 3427 
16694 0 30 
15489 33 1677 
15489 198 9921 
15115 149 7455 
14272 70 3540 
18677 453 22663 
18701 87 4358 
15421 27 1369 
15701 378 18934 
15389 30 1505 
15174 97 4865 
14191 156 7842 
18957 304 15220 
18921 18 948 
14667 4 210 
14667 63 3193 
18694 75 3753 
18574 330 16516 
18958 41 2060 
14914 149 7482 
14229 12 639 
15348 253 12678 
17872 25 1253 
14968 10 513 
14968 88 4403 
15415 301 15066 
16444 6 329 
16158 492 24646 
15785 232 11639 
14391 23 1197 
17004 21 1095 
17073 113 5671 
15875 33 1659 
17077 124 6215 
16148 147 7376 
18253 54 2713 
17727 35 1775 
18678 352 17630 
14712 62 3105 
14712 177 8883 
16823 79 3978 
14159 99 4987 
17089 54 2722 
17089 122 6122 
17776 9 497 
17776 11 597 
17620 219 10990 
15639 125 6293 
18636 159 8000 
14610 203 10166 
15153 156 7823 
17306 91 4564 
17372 107 5352 
15222 21 1099 
15222 67 3382 
15222 80 4027 
18732 427 21364 
18685 269 13495 
18882 156 7823 
16021 130 6504 
14822 44 2221 
15378 14 730 
17602 2 133 
14549 26 1305 
14549 110 5523 
18523 0 26 
17356 204 10243 
17287 113 5699 
14157 134 6714 
15465 94 4704 
18021 84 4242 
18021 157 7873 
15231 130 6527 
18488 212 10640 
15702 42 2146 
16063 28 1429 
16063 125 6296 
18527 344 17247 
15689 107 5384 
17830 37 1855 
17830 44 2211 
14970 173 8669 
14801 41 2066 
17110 42 2126 
14771 128 6435 
15421 47 2356 
14884 156 7826 
16340 354 17705 
15808 64 3221 
17865 254 12718 
17078 73 3668 
17582 16 841 
17582 16 846 
15151 119 5993 
17028 93 4681 
17270 21 1081 
17849 133 6698 
17722 62 3136 
17856 73 3687 
16134 98 4903 
17320 45 2268 
17849 125 6295 
16742 8 424 
16742 17 851 
16742 17 865 
15473 221 11072 
17043 77 3877 
18008 79 3959 
17620 141 7093 
17869 49 2493 
15447 63 3191 
17647 51 2588 
15330 71 3557 
15330 103 5178 
18673 147 7384 
14603 203 10169 
15783 388 19422 
15160 253 12678 
18604 136 6842 
15930 468 23445 
17664 33 1670 
17110 12 623 
18673 78 3929 
17849 213 10675 
16934 37 1869 
14257 77 3861 
17561 58 2947 
15511 252 12603 
15411 31 1581 
14427 294 14745 
17482 181 9073 
15115 65 3267 
18057 163 8161 
15593 233 11657 
14370 8 405 
16947 25 1264 
18010 49 2490 
18010 194 9731 
18268 55 2753 
16935 315 15762 
15603 142 7133 
18922 463 23160 
18007 113 5668 
18007 113 5699 
17998 162 8106 
14643 76 3836 
17540 32 1650 
18044 537 26894 
18795 203 10167 
17683 200 10016 
16147 136 6833 
16751 86 4338 
16751 110 5512 
15429 52 2641 
14149 260 13001 
18911 139 6958 
14575 77 3863 
14575 91 4577 
15141 10 507 
15141 42 2104 
14989 210 10549 
17840 216 10847 
17960 216 10813 
18760 47 2353 
18021 468 23411 
18021 468 23424 
18021 9 453 
15915 471 23578 
16283 46 2329 
18034 12 618 
15516 31 1585 
15589 164 8234 
18676 126 6348 
15511 120 6035 
15873 229 11463 
14736 249 12479 
15790 77 3867 
15427 207 10397 
16352 123 6183 
15915 289 14465 
15915 289 14486 
17618 43 2167 
18760 87 4397 
17956 78 3902 
17956 122 6149 
15588 117 5888 
16199 307 15363 
14886 138 6931 
17312 162 8130 
17194 26 1323 
17194 37 1857 
17082 33 1658 
16148 92 4640 
14275 11 552 
15927 329 16470 
18574 268 13408 
17847 243 12151 
15927 61 3073 
16793 9 486 
18955 61 3056 
16042 106 5333 
14807 245 12251 
16750 9 481 
17684 67 3372 
15960 375 18781 
15701 395 19753 
18760 212 10606 
14812 91 4599 
18008 7 390 
16107 60 3033 
17249 358 17918 
17030 109 5467 
18014 27 1384 
16281 164 8205 
17858 265 13277 
17118 73 3686 
15328 221 11061 
16845 458 22908 
18044 447 22375 
15167 101 5090 
17851 271 13590 
14682 69 3494 
16935 246 12307 
15676 112 5618 
18021 148 7449 
15013 5 288 
18752 207 10388 
17765 5 262 
17855 89 4500 
18760 42 2127 
14644 216 10802 
16751 58 2935 
17774 3 165 
14548 74 3706 
17400 206 10338 
17691 43 2181 
14708 9 468 
18922 217 10866 
17655 284 14218 
18463 199 9961 
16002 23 1194 
15484 98 4917 
17365 92 4645 
17855 100 5037 
17584 1 62 
16320 3 177 
16075 464 23215 
14214 11 587 
18527 649 32474 
18024 524 26206 
18024 567 28370 
15297 99 4987 
18225 414 20747 
18933 351 17577 
16858 167 8380 
16964 412 20634 
18515 6 333 
17666 71 3575 
17447 105 5253 
14133 27 1365 
17620 247 12375 
15291 12 642 
15828 408 20414 
16059 111 5562 
16118 74 3702 
17990 317 15864 
15428 251 12551 
16036 483 24167 
17847 338 16923 
15432 194 9740 
18024 265 13251 
18024 265 13273 
18024 301 15082 
14684 9 497 
14541 69 3489 
16266 20 1014 
16266 307 15372 
14259 135 6785 
17027 52 2605 
15976 122 6119 
17099 17 879 
14763 13 678 
14139 42 2109 
14139 42 2119 
16052 491 24588 
