Run Subrun Event
17745 12 637 
17745 46 2322 
18699 102 5140 
15451 67 3366 
17847 178 8909 
18245 182 9126 
15949 187 9393 
15486 217 10874 
16499 80 4025 
18929 239 11952 
16526 52 2648 
16526 69 3461 
18574 34 1704 
14802 228 11413 
18007 98 4916 
14893 147 7354 
18944 65 3256 
18488 18 948 
15928 78 3934 
15966 32 1625 
18253 25 1285 
18615 186 9339 
15901 214 10739 
15335 85 4269 
17333 31 1572 
17339 94 4715 
14573 55 2756 
17400 142 7123 
15496 71 3556 
18286 193 9659 
15162 51 2582 
17573 2 133 
14187 8 439 
17601 14 738 
18765 275 13764 
14399 122 6145 
18021 497 24878 
17561 73 3689 
17545 7 357 
18762 34 1720 
17406 71 3587 
14779 55 2797 
16172 448 22448 
17506 16 836 
17621 56 2807 
16891 156 7837 
14631 21 1089 
16379 239 11986 
14438 88 4436 
18923 248 12446 
14537 32 1618 
14298 53 2668 
15293 27 1363 
15293 96 4810 
14266 39 1996 
14603 197 9893 
15590 20 1039 
14727 3 183 
15882 127 6397 
17240 322 16137 
18639 151 7578 
15428 260 13034 
14970 83 4161 
14970 146 7316 
17371 380 19044 
17481 10 511 
17719 100 5035 
17400 79 3965 
17400 79 3968 
14146 28 1409 
17661 48 2436 
18617 0 47 
15877 48 2437 
15692 25 1274 
16925 73 3651 
15152 68 3405 
18519 55 2756 
14817 52 2637 
15479 357 17872 
17517 3 187 
14427 126 6350 
14940 266 13320 
14940 323 16177 
17361 362 18131 
17327 44 2225 
17139 135 6789 
14418 91 4568 
17591 68 3421 
15701 221 11070 
14795 70 3546 
17987 208 10436 
17724 12 620 
17724 37 1889 
16926 21 1072 
16926 150 7509 
16926 150 7545 
15960 151 7569 
17337 34 1721 
14643 200 10030 
17693 14 736 
15590 185 9270 
14940 31 1558 
15681 8 443 
14877 208 10426 
14805 282 14147 
18678 173 8691 
18678 177 8894 
17823 94 4721 
17383 363 18196 
16854 138 6923 
16818 106 5345 
17013 53 2672 
17013 60 3001 
18615 154 7727 
17087 265 13298 
18665 70 3512 
16199 218 10923 
17973 68 3407 
18631 49 2456 
18574 285 14280 
15167 25 1264 
15167 72 3618 
17579 27 1378 
16186 125 6254 
16470 137 6857 
15927 115 5783 
14743 96 4828 
15145 114 5736 
16167 188 9427 
18054 248 12447 
17975 28 1413 
18901 21 1073 
14558 260 13039 
17853 32 1634 
16341 250 12539 
17495 148 7447 
18515 50 2502 
16511 48 2424 
14157 188 9450 
18228 55 2778 
18228 198 9930 
18007 48 2416 
18704 29 1482 
18753 0 34 
17846 46 2334 
17846 101 5082 
14263 105 5252 
14771 29 1474 
18954 330 16530 
14622 23 1173 
15789 37 1888 
17535 15 799 
17535 18 932 
16751 272 13646 
18225 124 6241 
18225 159 7963 
15933 122 6111 
15828 349 17486 
16802 239 11956 
14918 53 2661 
14975 141 7095 
14347 79 3973 
18910 138 6924 
15966 320 16020 
14410 122 6128 
14916 50 2546 
14290 206 10331 
14290 263 13199 
15482 72 3621 
17875 20 1026 
15715 203 10191 
15715 215 10793 
15517 30 1526 
15878 43 2170 
16573 84 4249 
18794 386 19328 
16313 5 276 
14774 204 10220 
14632 50 2515 
18488 295 14775 
18039 38 1942 
16750 34 1702 
14213 2 137 
14213 38 1947 
14213 58 2945 
15318 72 3618 
15318 173 8691 
15917 105 5290 
14240 25 1257 
16437 205 10293 
17307 27 1366 
16317 147 7388 
17249 110 5548 
16047 55 2777 
15592 40 2045 
17658 2 135 
15589 151 7561 
18677 97 4887 
15589 106 5342 
18732 461 23095 
18234 115 5767 
18234 148 7443 
16741 282 14114 
17681 7 355 
15128 18 932 
18008 46 2321 
14206 15 779 
14206 54 2723 
18874 39 1991 
17700 71 3566 
14686 31 1573 
14784 45 2282 
14784 45 2297 
17956 71 3588 
16929 74 3729 
17132 26 1324 
18795 204 10231 
17668 26 1322 
17990 211 10569 
18911 49 2481 
14824 206 10339 
14985 24 1245 
16679 42 2139 
16679 147 7355 
16679 147 7382 
16901 27 1363 
18937 17 856 
18754 147 7361 
16785 27 1352 
14626 115 5782 
15981 254 12723 
18257 44 2242 
16821 96 4835 
14313 155 7782 
14647 72 3646 
17138 28 1424 
14671 4 226 
17620 216 10820 
15931 456 22846 
15634 281 14066 
15354 32 1622 
15448 164 8225 
18841 21 1072 
17169 172 8619 
14410 277 13873 
14741 188 9402 
18913 14 722 
18913 39 1971 
18028 28 1433 
16006 106 5332 
14306 37 1888 
17478 23 1195 
17978 247 12355 
17849 109 5476 
17858 110 5526 
17341 123 6170 
16690 50 2511 
18286 182 9105 
17489 286 14331 
18929 87 4369 
18760 100 5012 
15147 178 8916 
17763 46 2347 
17652 53 2651 
18697 324 16235 
17413 365 18288 
15479 377 18883 
16761 18 928 
14335 13 695 
18225 282 14110 
16835 45 2286 
17356 192 9645 
15969 301 15058 
14367 229 11453 
14281 34 1728 
18225 347 17373 
17666 32 1646 
18035 71 3591 
16312 12 616 
17245 65 3293 
17757 18 942 
15496 54 2744 
17645 19 967 
17645 19 973 
15656 65 3272 
16292 7 376 
16292 22 1142 
17686 14 704 
17686 357 17866 
17861 74 3728 
17861 86 4311 
14749 170 8503 
18032 110 5519 
18062 70 3524 
18951 289 14477 
14301 82 4131 
16457 61 3092 
16457 71 3569 
17132 507 25396 
18032 441 22056 
14450 28 1439 
14450 35 1782 
15959 19 992 
16252 192 9612 
16252 192 9625 
17213 109 5464 
15509 25 1273 
14275 24 1232 
15445 0 27 
15882 38 1902 
15882 58 2905 
15017 34 1712 
16798 40 2039 
18263 87 4384 
16387 97 4888 
18630 83 4154 
15870 92 4650 
14455 74 3727 
14377 114 5731 
14746 110 5510 
14551 143 7158 
17162 12 626 
15634 287 14368 
14438 278 13920 
15924 29 1462 
17869 6 305 
18035 34 1739 
18035 100 5030 
14938 293 14671 
17965 259 12988 
15489 26 1325 
18577 316 15827 
14428 55 2787 
14590 10 511 
14590 39 1996 
14590 116 5820 
14874 150 7520 
17956 312 15626 
14925 163 8196 
14280 5 260 
14280 68 3404 
18933 133 6671 
16978 296 14817 
14235 77 3878 
17282 6 347 
15106 129 6451 
15106 183 9187 
14148 29 1458 
14148 168 8425 
14401 154 7705 
14222 12 641 
16040 13 655 
17267 83 4190 
15122 94 4726 
17057 109 5467 
17057 112 5612 
17057 112 5634 
18685 33 1666 
18685 75 3798 
18054 431 21565 
14290 69 3471 
15309 38 1942 
17383 108 5406 
17383 405 20300 
15794 48 2420 
15902 75 3754 
16814 8 427 
17630 50 2515 
15456 193 9683 
17495 182 9132 
17495 208 10437 
17134 55 2758 
16199 84 4214 
16199 232 11616 
16199 307 15371 
17489 213 10680 
18225 126 6310 
17396 1 96 
18210 21 1061 
16209 100 5027 
18692 431 21592 
16161 134 6715 
16161 135 6779 
17108 7 359 
14603 78 3921 
14603 182 9123 
15529 214 10733 
17370 1 60 
17370 48 2413 
15877 169 8459 
16890 13 689 
14736 1 100 
16431 134 6721 
14227 16 801 
14956 18 926 
14559 98 4944 
18010 190 9538 
15315 52 2632 
15315 104 5236 
18249 23 1188 
16317 113 5663 
14516 35 1786 
16772 1 96 
17855 129 6493 
15844 7 369 
18930 18 948 
14573 12 633 
17851 25 1258 
15783 280 14004 
15125 79 3989 
16141 146 7325 
17036 382 19109 
16507 110 5536 
18010 82 4144 
14410 36 1805 
15181 11 579 
18021 409 20487 
18021 661 33097 
17693 169 8473 
16731 176 8813 
17087 382 19102 
17144 163 8161 
17552 200 10031 
18010 223 11160 
17875 98 4924 
18021 468 23409 
16761 347 17379 
14212 49 2469 
14812 141 7093 
18011 17 855 
18011 17 861 
14911 199 9982 
15920 81 4075 
14603 12 634 
14603 142 7110 
14603 142 7112 
16495 81 4064 
14293 181 9073 
14293 190 9505 
14281 21 1070 
14281 74 3708 
18574 238 11928 
18508 47 2374 
14140 22 1126 
18760 92 4606 
14712 155 7774 
15965 300 15011 
17871 58 2911 
15877 96 4835 
15877 232 11641 
17251 33 1684 
14186 104 5246 
16951 44 2224 
16934 123 6153 
14418 160 8049 
17763 2 130 
17763 2 139 
17302 99 4960 
15591 95 4765 
18690 24 1204 
15870 87 4361 
18011 58 2949 
17990 525 26300 
17128 40 2016 
18021 350 17516 
18021 350 17523 
17855 11 566 
17360 28 1450 
15892 11 570 
18010 245 12253 
18032 66 3303 
17620 203 10176 
14171 15 756 
14171 63 3162 
17646 43 2185 
15721 2 122 
17210 16 805 
17210 16 842 
18516 481 24093 
15446 31 1575 
16741 68 3422 
18495 199 9959 
17534 130 6521 
18010 212 10614 
15402 71 3554 
18732 46 2308 
18732 377 18866 
18746 24 1240 
18922 64 3229 
15130 58 2905 
18603 400 20003 
16446 311 15600 
16355 25 1273 
15464 75 3789 
15589 351 17591 
18780 8 410 
14263 44 2223 
16549 53 2653 
18740 146 7303 
18708 35 1756 
14886 127 6363 
14903 323 16178 
18900 141 7085 
17028 104 5209 
16462 32 1604 
14261 6 330 
16172 450 22506 
15680 88 4445 
17311 2 110 
17311 92 4613 
18005 44 2215 
17328 16 818 
14726 14 706 
15281 15 789 
17333 20 1027 
18760 21 1089 
18760 34 1723 
17823 68 3409 
18760 126 6336 
17100 179 8996 
18612 63 3160 
18612 149 7489 
18612 149 7491 
16148 40 2025 
14306 206 10340 
16963 276 13846 
17075 126 6339 
17686 263 13181 
17972 262 13108 
17835 121 6088 
17835 222 11115 
17146 8 447 
18944 35 1791 
16285 43 2170 
16994 110 5518 
16994 257 12867 
15632 11 595 
16697 28 1442 
14764 51 2573 
14828 214 10723 
15764 4 203 
15463 126 6343 
14134 214 10702 
15328 60 3042 
18957 354 17737 
15431 56 2833 
15514 6 313 
14771 193 9673 
18903 187 9394 
18497 271 13587 
17353 18 941 
16266 82 4106 
17271 67 3394 
14882 11 570 
15295 71 3592 
18619 74 3708 
16853 40 2032 
14464 265 13256 
16295 65 3287 
14909 115 5758 
17183 14 724 
14516 38 1949 
14516 62 3141 
15783 405 20257 
15294 86 4342 
15460 13 654 
16216 67 3363 
17415 91 4574 
14216 71 3594 
14117 11 572 
16341 76 3829 
18489 36 1811 
17413 208 10420 
17557 119 5954 
18903 64 3213 
18574 79 3976 
16006 357 17886 
14195 141 7077 
18505 19 995 
15805 52 2612 
15805 52 2632 
14139 243 12177 
16751 206 10333 
18024 20 1037 
18021 189 9489 
15449 42 2131 
17047 6 315 
15392 99 4960 
17990 114 5707 
17990 114 5732 
16357 49 2485 
15410 0 24 
14555 239 11982 
15463 419 20970 
17492 47 2394 
14259 172 8648 
14557 47 2372 
16144 46 2347 
18008 49 2460 
18233 70 3538 
18233 70 3549 
14276 1 64 
18907 60 3022 
17581 8 409 
17847 320 16030 
17847 338 16946 
14152 52 2646 
14556 36 1813 
16303 59 2993 
14127 224 11210 
18245 172 8649 
14748 143 7159 
18021 47 2373 
16751 262 13131 
18010 30 1534 
18225 107 5393 
15478 171 8600 
14436 32 1639 
15828 7 377 
17264 2 103 
17204 50 2523 
17204 50 2529 
16802 357 17869 
18631 192 9612 
14897 40 2039 
14975 12 626 
18760 188 9446 
16038 352 17639 
16290 5 264 
15238 29 1452 
18779 213 10665 
16507 19 979 
18679 188 9445 
14558 288 14421 
16444 90 4527 
16036 130 6513 
16188 88 4433 
15292 84 4235 
14918 149 7452 
15800 99 4985 
14870 84 4234 
16352 163 8170 
16850 89 4492 
18647 113 5662 
15828 451 22575 
15927 67 3361 
15520 8 435 
16842 109 5495 
16842 125 6293 
14438 173 8652 
17313 140 7008 
16348 41 2055 
18673 144 7238 
17428 4 207 
17415 181 9098 
17057 125 6278 
14729 73 3664 
17517 186 9333 
14717 10 538 
15960 262 13149 
15442 31 1593 
17493 0 49 
15799 100 5022 
14814 3 157 
14814 8 428 
17240 430 21536 
17972 186 9315 
18225 434 21741 
15931 58 2902 
16286 394 19742 
16299 108 5419 
15324 41 2093 
14368 130 6534 
15234 5 293 
17668 77 3857 
15469 337 16879 
15469 337 16894 
18574 305 15296 
16585 59 2966 
15858 34 1734 
14293 154 7738 
14293 196 9807 
15941 28 1426 
18010 287 14364 
17361 228 11445 
18258 11 575 
18258 58 2929 
15484 279 14000 
16506 117 5873 
18910 89 4469 
16356 44 2235 
16847 50 2503 
18795 255 12762 
15701 63 3151 
14342 252 12626 
18021 461 23089 
18021 593 29683 
15314 12 647 
17552 83 4167 
16978 235 11755 
16676 186 9336 
17985 285 14283 
17650 11 589 
17650 23 1165 
18035 137 6900 
16751 249 12475 
16332 7 397 
14403 9 492 
14224 16 841 
16204 56 2834 
17339 176 8837 
15254 46 2343 
14344 4 214 
15116 58 2905 
15116 278 13909 
17645 24 1250 
14174 199 9986 
14427 139 6981 
14545 63 3176 
18021 229 11487 
17126 0 8 
17126 56 2834 
15464 271 13559 
17984 65 3283 
14191 68 3401 
17301 7 387 
18650 144 7218 
14270 184 9214 
14270 184 9228 
17295 7 372 
17041 67 3385 
15473 4 209 
14162 9 464 
14824 316 15838 
17871 237 11860 
15274 77 3866 
15969 346 17309 
16843 132 6625 
16851 328 16411 
18955 174 8750 
16169 9 488 
16893 28 1406 
17398 30 1521 
17383 47 2361 
15467 20 1003 
15921 67 3375 
14743 74 3744 
16964 222 11109 
17109 58 2904 
15182 105 5254 
15182 105 5296 
15901 334 16740 
16137 22 1128 
16134 512 25650 
16094 321 16071 
17497 79 3990 
15153 103 5181 
16513 53 2657 
14246 69 3498 
18692 76 3850 
17727 35 1769 
14172 32 1642 
15875 377 18880 
14756 125 6275 
18031 305 15266 
15391 49 2464 
15227 118 5925 
15909 30 1532 
16119 157 7877 
16119 234 11734 
16119 447 22399 
18603 167 8374 
17169 188 9417 
15160 217 10880 
17256 11 589 
14259 223 11171 
15316 80 4034 
14139 266 13345 
15751 34 1714 
16473 155 7799 
14626 174 8741 
16104 74 3711 
16104 96 4838 
15923 289 14472 
17536 10 504 
16209 132 6619 
14438 235 11773 
14438 256 12846 
18603 225 11262 
18603 236 11812 
16295 97 4888 
16295 172 8650 
14722 195 9799 
17543 8 414 
16333 81 4085 
16996 39 1971 
16028 459 22987 
14151 121 6064 
15407 101 5088 
17621 78 3913 
17601 79 3966 
17653 91 4568 
17653 91 4600 
15315 75 3791 
15946 295 14779 
17851 289 14461 
18752 41 2091 
15529 228 11401 
18210 118 5940 
16852 271 13588 
15335 86 4345 
15708 55 2767 
15430 38 1923 
14788 92 4632 
17835 268 13408 
15715 72 3624 
17575 46 2304 
14568 21 1089 
18208 28 1429 
15676 89 4483 
14436 30 1510 
16525 0 39 
18883 33 1651 
15840 38 1920 
17494 246 12345 
18499 132 6637 
14427 245 12260 
14542 13 661 
15722 79 3976 
15946 36 1812 
14580 1 65 
15913 7 376 
18747 12 637 
16028 341 17093 
15432 26 1350 
14742 6 301 
18021 552 27635 
14464 192 9622 
15662 3 185 
17055 427 21373 
17452 64 3209 
15262 122 6122 
16331 46 2316 
16331 102 5140 
18048 395 19782 
17333 19 984 
16378 54 2741 
16378 57 2856 
14332 31 1559 
14332 55 2778 
15676 45 2254 
15676 111 5573 
18514 488 24444 
18021 627 31369 
14124 126 6341 
18286 187 9387 
18233 329 16469 
16090 2 140 
17306 106 5321 
17306 106 5335 
17306 106 5346 
16919 374 18736 
17053 27 1358 
16341 293 14677 
15792 23 1171 
16172 499 24975 
18011 0 15 
17780 30 1502 
16227 76 3820 
14681 28 1449 
14527 0 50 
16694 293 14651 
15801 278 13939 
15161 20 1025 
17667 26 1341 
16883 93 4693 
14409 118 5940 
17271 53 2692 
15182 31 1579 
18251 40 2016 
14542 121 6060 
17307 114 5732 
18057 162 8126 
14956 17 854 
17655 6 322 
15955 54 2732 
16819 12 638 
16272 312 15615 
15530 44 2250 
15530 128 6448 
17618 2 144 
18764 66 3301 
14143 18 909 
15870 0 45 
15783 82 4132 
17364 36 1807 
17537 5 285 
14758 62 3105 
14376 77 3887 
14376 87 4363 
17985 142 7111 
17206 350 17536 
14956 237 11879 
17647 47 2384 
18678 357 17890 
16846 282 14118 
